"Date","Stock.Volatility"
2005-03-31,7.4018619450698
2005-06-30,8.45345790160757
2005-09-30,8.14248439460065
2005-12-31,10.6715925932958
2006-03-31,10.079804643102
2006-06-30,17.8261010061486
2006-09-30,12.1260093374778
2006-12-31,8.03031835279928
2007-03-31,13.5211787532168
2007-06-30,9.68967113924491
2007-09-30,23.8859654631457
2007-12-31,19.2059221374433
2008-03-31,29.0055668845866
2008-06-30,17.2821475191327
2008-09-30,33.462347732681
2008-12-31,58.2607542244441
2009-03-31,32.5289764790152
2009-06-30,22.6339474158464
2009-09-30,16.955625785723
2009-12-31,18.5512807742366
2010-03-31,13.0494492780295
2010-06-30,23.1295927712906
2010-09-30,17.6333678444073
2010-12-31,14.1806892778301
2011-03-31,13.88405349257
2011-06-30,14.5882477498031
2011-09-30,29.7134746117194
2011-12-31,22.625212419235
2012-03-31,12.6759184232677
2012-06-30,17.9741186953712
2012-09-30,13.3605998212829
2012-12-31,10.8262025177545
2013-03-31,10.692290542198
2013-06-30,15.3128559475646
2013-09-30,12.5622209508413
2013-12-31,9.45734062947683
2014-03-31,10.7610431647266
2014-06-30,7.46297267620852
2014-09-30,8.73857985255131
2014-12-31,16.385771458091
2015-03-31,14.119227657384
2015-06-30,12.8373426986847
2015-09-30,24.0064294471738
2015-12-31,15.8831843156463
2016-03-31,22.5641796969054
2016-06-30,19.2905885268897
2016-09-30,11.445344242529
2016-12-31,11.1299975726221
2017-03-31,7.41299725637775
2017-06-30,9.50061671800195
2017-09-30,9.39628366321975
2017-12-31,7.68437033437512
2018-03-31,12.5884684939013
2018-06-30,12.1196583904696
2018-09-30,10.6021417936674
2018-12-31,15.1452692546964
2019-03-31,12.4053415426576
2019-06-30,8.86329647738597
2019-09-30,12.5459096920293
2019-12-31,12.7551934949833
2020-03-31,42.9379302685829
2020-06-30,29.3192187970972
2020-09-30,19.6277946046178
2020-12-31,18.7118703296573
2021-03-31,14.7196984106104
2021-06-30,11.5173636238894
2021-09-30,12.0396090556353
2021-12-31,12.6244552947274
2022-03-31,20.2882093152352
2022-06-30,18.027238542091
2022-09-30,14.303298865938
2022-12-31,11.3384321905832
2023-03-31,14.0703770731221
2023-06-30,9.15731666004341
2023-09-30,11.6230379372611
2023-12-31,10.6609789770618
2024-03-31,9.15206530356283
2024-06-30,8.95503050645037
2024-09-30,10.750569087156
2024-12-31,8.69816574348672
